date,value
2000-01-01,131005
2000-02-01,131124
2000-03-01,131596
2000-04-01,131888
2000-05-01,132105
2000-06-01,132061
2000-07-01,132236
2000-08-01,132230
2000-09-01,132353
2000-10-01,132351
2000-11-01,132556
2000-12-01,132709
2001-01-01,132698
2001-02-01,132789
2001-03-01,132747
2001-04-01,132463
2001-05-01,132410
2001-06-01,132299
2001-07-01,132177
2001-08-01,132028
2001-09-01,131771
2001-10-01,131454
2001-11-01,131142
2001-12-01,130982
2002-01-01,130852
2002-02-01,130736
2002-03-01,130717
2002-04-01,130623
2002-05-01,130634
2002-06-01,130684
2002-07-01,130590
2002-08-01,130587
2002-09-01,130501
2002-10-01,130628
2002-11-01,130615
2002-12-01,130472
2003-01-01,130580
2003-02-01,130444
2003-03-01,130232
2003-04-01,130177
2003-05-01,130196
2003-06-01,130194
2003-07-01,130191
2003-08-01,130149
2003-09-01,130254
2003-10-01,130454
2003-11-01,130474
2003-12-01,130588
2004-01-01,130769
2004-02-01,130825
2004-03-01,131142
2004-04-01,131411
2004-05-01,131694
2004-06-01,131793
2004-07-01,131848
2004-08-01,131937
2004-09-01,132093
2004-10-01,132447
2004-11-01,132503
2004-12-01,132624
2005-01-01,132774
2005-02-01,133032
2005-03-01,133156
2005-04-01,133518
2005-05-01,133690
2005-06-01,133942
2005-07-01,134296
2005-08-01,134498
2005-09-01,134566
2005-10-01,134655
2005-11-01,134993
2005-12-01,135149
2006-01-01,135429
2006-02-01,135737
2006-03-01,136047
2006-04-01,136205
2006-05-01,136244
2006-06-01,136325
2006-07-01,136520
2006-08-01,136694
2006-09-01,136843
2006-10-01,136852
2006-11-01,137063
2006-12-01,137249
2007-01-01,137477
2007-02-01,137558
2007-03-01,137793
2007-04-01,137842
2007-05-01,137993
2007-06-01,138069
2007-07-01,138038
2007-08-01,138015
2007-09-01,138095
2007-10-01,138174
2007-11-01,138284
2007-12-01,138392
2008-01-01,138403
2008-02-01,138324
2008-03-01,138275
2008-04-01,138035
2008-05-01,137858
2008-06-01,137687
2008-07-01,137491
2008-08-01,137213
2008-09-01,136753
2008-10-01,136272
2008-11-01,135545
2008-12-01,134839
2009-01-01,134055
2009-02-01,133312
2009-03-01,132512
2009-04-01,131817
2009-05-01,131475
2009-06-01,131008
2009-07-01,130668
2009-08-01,130485
2009-09-01,130244
2009-10-01,130045
2009-11-01,130057
2009-12-01,129788
2010-01-01,129790
2010-02-01,129698
2010-03-01,129879
2010-04-01,130110
2010-05-01,130650
2010-06-01,130511
2010-07-01,130427
2010-08-01,130422
2010-09-01,130357
2010-10-01,130625
2010-11-01,130750
2010-12-01,130822
2011-01-01,130841
2011-02-01,131053
2011-03-01,131288
2011-04-01,131602
2011-05-01,131703
2011-06-01,131939
2011-07-01,131999
2011-08-01,132125
2011-09-01,132358
2011-10-01,132562
2011-11-01,132694
2011-12-01,132896
2012-01-01,133250
2012-02-01,133512
2012-03-01,133752
2012-04-01,133834
2012-05-01,133934
2012-06-01,134007
2012-07-01,134159
2012-08-01,134331
2012-09-01,134518
2012-10-01,134677
2012-11-01,134833
2012-12-01,135072
2013-01-01,135263
2013-02-01,135541
2013-03-01,135680
2013-04-01,135871
2013-05-01,136093
2013-06-01,136274
2013-07-01,136386
2013-08-01,136628
2013-09-01,136815
2013-10-01,137040
2013-11-01,137304
2013-12-01,137373
2014-01-01,137548
2014-02-01,137714
2014-03-01,137968
2014-04-01,138293
2014-05-01,138511
2014-06-01,138837
2014-07-01,139069
2014-08-01,139257
2014-09-01,139566
2014-10-01,139818
2014-11-01,140109
2014-12-01,140377
2015-01-01,140568
2015-02-01,140839
2015-03-01,140910
2015-04-01,141194
2015-05-01,141525
2015-06-01,141699
2015-07-01,142001
2015-08-01,142126
2015-09-01,142281
2015-10-01,142587
2015-11-01,142824
2015-12-01,143097
2016-01-01,143170
2016-02-01,143433
2016-03-01,143662
2016-04-01,143849
2016-05-01,143891
2016-06-01,144158
2016-07-01,144512
2016-08-01,144647
2016-09-01,144916
2016-10-01,145061
2016-11-01,145212
2016-12-01,145442
2017-01-01,145627
2017-02-01,145815
2017-03-01,145944
2017-04-01,146141
2017-05-01,146296
2017-06-01,146512
2017-07-01,146727
2017-08-01,146911
2017-09-01,146929
2017-10-01,147196
2017-11-01,147421
2017-12-01,147551
2018-01-01,147672
2018-02-01,148078
2018-03-01,148254
2018-04-01,148391
2018-05-01,148669
2018-06-01,148888
2018-07-01,149024
2018-08-01,149268
2018-09-01,149348
2018-10-01,149549
2018-11-01,149683
2018-12-01,149865
2019-01-01,150134
2019-02-01,150135
2019-03-01,150282
2019-04-01,150492
2019-05-01,150577
2019-06-01,150759
2019-07-01,150953
2019-08-01,151160
2019-09-01,151368
2019-10-01,151553
2019-11-01,151814
2019-12-01,151998
2020-01-01,152212
2020-02-01,152463
2020-03-01,151090
2020-04-01,130303
2020-05-01,133028
2020-06-01,137819
2020-07-01,139582
